Vacancy,Salary_min,Salary_max,Currency,Vac_link,Source,Employee,Area
Python Developer (стажер),,,,https://hh.ru/vacancy/48302705,hh.ru,Blockchain Solutions,Москва
Junior Python developer (в Сочи),65000.0,,руб.,https://hh.ru/vacancy/47110879,hh.ru,ООО Колл-Тулз,Сочи
Разработчик Python (Junior),80000.0,,руб.,https://hh.ru/vacancy/48249561,hh.ru,AERODISK,Москва
Junior Data Engineer (Python),120000.0,120000.0,руб.,https://hh.ru/vacancy/47914759,hh.ru,DataFork,Москва
Стажер (Python),,,,https://hh.ru/vacancy/48363708,hh.ru,Сбер. IT,Санкт-Петербург
"Python-разработчик (Django, DRF)",60000.0,150000.0,руб.,https://hh.ru/vacancy/39736489,hh.ru,ООО Фабрика Решений,Москва
"Python-разработчик (Django, DRF)",60000.0,150000.0,руб.,https://hh.ru/vacancy/39736489,hh.ru,ООО Фабрика Решений,Москва
Python-разработчик,,,,https://hh.ru/vacancy/46558794,hh.ru,Сбер. IT,Москва
Разработчик Python,100000.0,200000.0,руб.,https://hh.ru/vacancy/47893332,hh.ru,AISA,Санкт-Петербург
Python Data Engineer,150000.0,180000.0,руб.,https://hh.ru/vacancy/48281261,hh.ru,ООО ФармХаб,Москва
Программист Python,80000.0,170000.0,руб.,https://hh.ru/vacancy/48347828,hh.ru,WOLBE,Москва
Python Developer (Backend),,,,https://hh.ru/vacancy/48361239,hh.ru,Wargaming St. Petersburg (Lesta Studio),Санкт-Петербург
Python программист,100000.0,,руб.,https://hh.ru/vacancy/48296993,hh.ru,ООО Авантренд,Екатеринбург
Разработчик Python,80000.0,120000.0,руб.,https://hh.ru/vacancy/48204672,hh.ru,ООО Единая Информационная Система ЖКХ,Санкт-Петербург
"Технический лид автоматических тестов GUI (Python, Squish)",4000.0,,USD,https://hh.ru/vacancy/45657026,hh.ru,NetworkOptix,Москва
Junior python developer,,,,https://hh.ru/vacancy/48187943,hh.ru,Крауд,Санкт-Петербург
Разработчик Python / Django,70000.0,80000.0,руб.,https://hh.ru/vacancy/48303235,hh.ru,IT Gene,Москва
Программист Python,3000.0,,USD,https://hh.ru/vacancy/48029324,hh.ru,ООО Медэкс,Санкт-Петербург
Разработчик Python,120000.0,180000.0,руб.,https://hh.ru/vacancy/48140661,hh.ru,ООО Инспектор Клауд,Москва
Python developer (Senior),300000.0,400000.0,руб.,https://hh.ru/vacancy/47262469,hh.ru,ООО Вайт Код,Санкт-Петербург
"Стажер/аналитик-разработчик (SQL, Python)",,,,https://hh.ru/vacancy/48283330,hh.ru,Ozon Офис и Коммерция,Москва
Python Developer,200000.0,350000.0,руб.,https://hh.ru/vacancy/47495050,hh.ru,ИП Шпак Виктория Сергеевна,Москва
